category,brand,weight_kg,rating,warranty_years,power_usage_watts,feature_score,price
Toys,BrandC,41.21,2.5,2,1189,88.46,1039.74
Apparel,BrandC,16.73,3.0,4,993,36.55,898.03
Furniture,BrandE,24.29,3.2,2,1728,15.57,986.83
Electronics,BrandB,14.41,1.6,3,508,8.81,619.21
Kitchen,BrandA,15.77,3.2,3,1604,22.33,780.58
Kitchen,BrandA,35.85,3.6,1,1067,25.16,571.07
Furniture,BrandE,24.48,3.3,2,86,63.91,579.14
Kitchen,BrandC,7.79,1.7,4,419,55.19,758.18
Apparel,BrandB,38.88,4.5,3,1116,81.77,1192.77
Kitchen,BrandE,16.61,2.4,5,1046,78.48,1246.6
Furniture,BrandD,23.81,3.7,4,1074,12.32,1106.06
Furniture,BrandA,21.72,1.5,2,486,33.1,622.98
Apparel,BrandA,29.83,4.4,0,1759,87.84,1040.98
Kitchen,BrandA,17.83,3.0,1,1822,86.58,1188.84
Kitchen,BrandD,38.19,2.5,0,149,85.99,590.6
Electronics,BrandE,43.54,2.6,2,1821,87.69,1429.46
Toys,BrandB,10.78,4.1,3,595,22.52,883.84
Furniture,BrandD,18.32,4.1,3,582,69.06,982.96
Electronics,BrandE,21.65,3.0,2,1140,85.51,1225.73
Furniture,BrandE,31.78,1.1,4,221,65.38,909.15
Electronics,BrandB,29.08,4.7,2,251,66.17,768.2
Toys,BrandE,24.74,1.7,3,1589,55.37,957.06
Electronics,BrandE,27.24,2.6,3,896,21.02,676.2
Furniture,BrandE,7.7,4.8,4,448,3.23,652.45
Kitchen,BrandC,44.88,1.3,2,1498,71.94,947.97
Furniture,BrandA,10.7,2.1,0,1275,66.26,841.33
Apparel,BrandC,21.48,4.8,4,1058,73.24,1226.48
Apparel,BrandC,8.64,2.6,4,729,19.33,552.76
Apparel,BrandC,43.22,1.6,4,211,21.42,829.66
Apparel,BrandC,45.22,2.9,4,1055,77.48,1436.35
Toys,BrandD,2.96,3.2,4,1968,30.55,1018.93
Kitchen,BrandA,30.81,2.5,3,1073,83.86,1179.41
Kitchen,BrandB,30.8,4.3,4,857,57.32,1256.56
Furniture,BrandD,9.75,1.2,1,1071,86.95,765.39
Electronics,BrandA,43.17,4.5,2,362,69.54,773.52
Furniture,BrandA,20.69,3.5,5,445,19.78,1093.94
Furniture,BrandC,37.41,3.7,0,194,19.96,348.61
Furniture,BrandA,33.94,1.5,3,670,45.16,880.89
Furniture,BrandB,18.18,1.6,2,1856,89.06,1074.99
Kitchen,BrandB,47.37,2.0,4,1296,35.09,1118.43
Electronics,BrandB,29.16,3.8,0,1968,27.59,845.56
Furniture,BrandB,43.87,1.6,5,1152,75.62,1332.28
Kitchen,BrandC,39.84,2.2,4,89,80.48,1095.84
Furniture,BrandE,40.66,3.6,2,572,28.71,712.99
Apparel,BrandD,38.24,3.9,1,1589,28.11,996.5
Furniture,BrandB,8.33,1.7,4,1733,38.05,1084.19
Furniture,BrandD,2.43,3.6,2,884,11.58,668.67
Toys,BrandE,40.28,1.5,3,283,97.67,1196.51
Apparel,BrandC,20.5,2.1,4,1352,92.17,1390.07
Electronics,BrandD,22.13,4.0,2,1804,29.03,909.7
Furniture,BrandB,4.22,3.2,3,332,30.07,768.05
Electronics,BrandE,38.52,2.3,3,1678,70.52,1327.76
Apparel,BrandB,13.58,3.9,1,1568,80.48,1091.38
Furniture,BrandA,11.77,1.2,5,1388,58.76,1134.57
Toys,BrandA,28.35,1.2,2,1852,4.16,699.32
Kitchen,BrandD,46.31,1.4,3,1076,82.78,1094.4
Toys,BrandB,17.52,2.9,2,1213,19.72,838.47
Toys,BrandC,29.57,1.5,4,1192,47.03,1008.55
Kitchen,BrandC,2.67,1.6,2,1805,89.79,1076.39
Kitchen,BrandD,8.11,4.2,0,130,40.62,535.11
Kitchen,BrandE,30.87,3.6,4,1786,99.99,1497.01
Furniture,BrandC,48.95,3.0,0,762,44.12,644.22
Electronics,BrandD,23.84,1.5,1,1152,85.63,911.34
Electronics,BrandE,0.78,3.3,5,1864,81.39,1388.47
Kitchen,BrandC,18.2,3.8,2,1710,66.64,1135.03
Toys,BrandA,29.49,3.1,0,1081,6.31,510.85
Apparel,BrandA,29.8,4.6,1,207,0.45,682.03
Kitchen,BrandE,30.78,2.5,5,1587,46.65,1317.67
Toys,BrandB,41.54,4.7,4,664,12.14,798.1
Toys,BrandA,9.69,4.3,2,1827,25.53,1064.6
Furniture,BrandA,25.99,1.6,5,928,72.14,1327.73
Furniture,BrandA,7.5,1.7,0,1120,71.13,769.69
Electronics,BrandA,13.81,3.7,1,1958,95.07,1100.91
Electronics,BrandC,38.12,2.9,4,51,57.84,1104.02
Apparel,BrandE,28.45,1.8,3,1006,87.2,1168.9
Apparel,BrandE,12.68,3.1,1,1285,60.52,866.67
Apparel,BrandB,26.09,2.0,1,1141,44.49,826.78
Apparel,BrandC,32.35,4.8,2,1163,28.38,809.79
Toys,BrandD,48.28,3.9,1,1893,79.57,1395.0
Toys,BrandE,20.12,1.1,2,1966,38.61,981.51
Electronics,BrandB,6.9,2.2,2,526,12.83,364.83
Furniture,BrandD,49.71,3.3,1,1644,89.54,1274.72
Furniture,BrandC,49.98,2.4,3,39,20.87,723.92
Kitchen,BrandA,22.11,3.7,5,1341,9.53,1248.4
Toys,BrandE,43.7,4.9,5,1259,9.34,1276.77
Apparel,BrandA,24.13,3.0,1,1662,58.87,873.91
Apparel,BrandD,10.21,4.3,4,203,91.75,1309.8
Kitchen,BrandB,16.41,4.5,2,1346,38.63,976.45
Furniture,BrandC,44.7,3.1,1,951,53.82,957.28
Apparel,BrandE,34.09,3.4,4,1086,77.27,1344.39
Furniture,BrandD,40.82,3.8,1,757,93.93,1029.11
Kitchen,BrandC,43.46,3.2,4,1978,3.68,1004.52
Furniture,BrandD,30.8,4.4,1,1203,41.43,828.18
Furniture,BrandA,34.86,1.5,4,1987,37.79,1220.88
Furniture,BrandC,20.42,2.3,3,1132,31.43,970.98
Apparel,BrandB,40.45,1.1,5,570,15.62,990.59
Electronics,BrandE,10.22,1.5,4,818,43.31,961.83
Toys,BrandE,37.2,2.6,4,1590,97.93,1682.27
Furniture,BrandA,4.56,3.4,1,514,62.1,763.88
Furniture,BrandC,0.37,1.9,4,1438,34.09,869.28
Furniture,BrandA,27.12,2.1,4,289,91.26,1106.05
Electronics,BrandE,11.27,5.0,0,1594,94.36,1049.71
Kitchen,BrandC,39.48,4.5,4,1028,8.81,817.17
Apparel,BrandC,26.03,2.1,1,964,80.93,923.72
Electronics,BrandC,14.25,2.9,1,744,71.35,709.56
Furniture,BrandA,5.09,4.9,4,1038,76.67,1399.06
Electronics,BrandA,36.7,3.7,4,41,43.78,988.51
Electronics,BrandA,0.49,2.8,3,160,82.24,881.85
Electronics,BrandB,5.66,2.1,4,1517,72.28,1025.64
Kitchen,BrandE,5.59,1.4,0,1774,22.94,759.98
Toys,BrandA,22.21,2.2,5,1517,92.16,1515.3
Apparel,BrandA,6.23,1.4,4,162,26.61,518.62
Kitchen,BrandB,39.73,2.3,3,366,85.02,990.89
Kitchen,BrandD,22.2,4.8,0,1513,56.38,848.44
Toys,BrandD,37.41,3.3,0,1984,96.81,1068.22
Kitchen,BrandC,29.74,2.2,5,374,35.13,1106.16
Electronics,BrandA,2.33,1.8,3,1623,91.3,1121.8
Electronics,BrandA,31.99,1.5,2,221,24.96,443.74
Furniture,BrandC,34.77,2.5,2,1975,40.72,1089.16
Kitchen,BrandE,15.14,3.6,1,609,57.03,733.89
Furniture,BrandA,25.52,3.5,1,134,66.9,580.21
Apparel,BrandC,23.77,4.6,4,1883,65.71,1343.54
Electronics,BrandD,36.86,3.4,2,431,96.5,936.44
Apparel,BrandA,48.6,3.5,2,1161,38.31,985.46
Toys,BrandB,19.55,3.9,2,782,24.5,603.89
Electronics,BrandD,49.78,3.8,5,1027,28.36,1176.98
Apparel,BrandC,21.17,2.3,0,640,54.07,640.15
Toys,BrandC,37.83,3.9,3,1164,25.05,922.01
Apparel,BrandE,13.16,4.8,1,264,4.01,551.23
Toys,BrandE,42.76,2.1,3,1991,94.52,1449.19
Toys,BrandA,43.24,3.4,2,682,36.47,878.87
Electronics,BrandC,26.83,4.6,2,1969,88.8,1446.21
Furniture,BrandB,36.08,4.0,0,772,15.59,467.11
Toys,BrandC,9.61,3.1,4,79,77.74,849.07
Toys,BrandA,15.66,4.4,5,215,86.89,1181.21
Electronics,BrandA,18.64,2.9,2,1107,14.4,775.52
Furniture,BrandD,25.27,3.2,4,1161,72.62,1099.89
Kitchen,BrandC,18.68,2.5,1,915,36.45,596.92
Kitchen,BrandE,19.49,3.3,4,1163,58.45,1096.5
Furniture,BrandB,5.55,4.2,4,322,5.42,851.64
Apparel,BrandE,18.04,1.0,0,1685,19.17,297.08
Electronics,BrandE,22.98,3.5,4,1434,57.65,1118.12
Furniture,BrandA,11.92,4.9,5,1876,71.26,1369.19
Kitchen,BrandC,9.02,1.2,3,1809,93.08,1236.07
Toys,BrandC,7.77,1.6,2,1415,82.73,879.57
Kitchen,BrandE,16.63,3.9,2,780,81.52,1121.61
Toys,BrandA,43.95,4.3,3,41,18.2,621.79
Electronics,BrandA,0.38,1.5,5,985,97.61,1253.07
Toys,BrandA,9.21,2.3,3,1769,25.99,1053.95
Furniture,BrandC,12.16,4.3,4,1947,4.43,1025.85
Toys,BrandA,22.05,2.6,2,937,40.07,850.11
Apparel,BrandB,17.56,3.6,0,1440,96.68,927.13
Furniture,BrandB,32.03,1.7,0,703,65.21,453.77
Electronics,BrandB,1.32,1.7,5,461,68.64,1081.52
Furniture,BrandA,26.82,1.8,1,183,96.22,801.02
Apparel,BrandB,21.16,3.0,2,1005,70.29,858.68
Electronics,BrandD,20.35,3.9,2,861,11.58,798.11
Kitchen,BrandB,49.41,2.4,0,394,58.08,695.99
Apparel,BrandB,22.24,3.3,5,123,99.46,1212.75
Electronics,BrandD,37.26,1.4,5,1237,71.36,1368.2
Toys,BrandC,8.12,4.2,4,1957,11.44,1288.71
Furniture,BrandD,28.33,5.0,1,631,81.14,867.16
Electronics,BrandB,49.51,3.8,2,1999,81.19,1350.32
Furniture,BrandE,36.9,2.0,5,1401,67.95,1503.43
Toys,BrandB,9.96,4.0,5,1242,55.46,1359.17
Electronics,BrandB,18.67,3.9,2,330,42.83,851.41
Kitchen,BrandE,19.83,4.5,5,298,40.62,1023.49
Apparel,BrandE,32.41,2.1,1,1965,99.49,1200.88
Electronics,BrandC,47.44,4.1,2,1037,1.64,719.43
Toys,BrandB,24.33,1.8,3,947,1.09,677.54
Electronics,BrandE,11.43,4.4,4,1994,94.41,1509.18
Furniture,BrandB,45.52,4.4,5,1401,87.11,1621.08
Electronics,BrandB,26.39,4.1,0,1895,73.66,1088.46
Kitchen,BrandD,28.9,2.1,4,447,99.47,1118.4
Electronics,BrandE,18.3,4.6,0,1284,1.88,607.88
Apparel,BrandA,46.59,4.3,5,611,14.43,918.26
Electronics,BrandB,6.72,3.9,1,1764,1.6,616.55
Furniture,BrandA,4.04,2.6,2,145,37.2,468.48
Electronics,BrandA,42.94,4.3,2,201,6.58,631.81
Kitchen,BrandD,35.65,2.8,5,828,27.55,1174.81
Toys,BrandB,41.22,2.3,2,1296,18.0,639.93
Electronics,BrandD,40.63,2.0,2,1023,76.17,1106.98
Electronics,BrandC,4.72,2.2,5,1653,72.39,1177.87
Apparel,BrandB,37.37,5.0,1,185,45.29,779.72
Kitchen,BrandC,43.89,2.6,5,576,19.09,1084.06
Toys,BrandA,40.34,2.4,3,1977,62.83,1202.7
Furniture,BrandD,30.76,1.7,2,1863,93.0,1191.02
Electronics,BrandC,17.19,4.7,1,1789,40.08,970.53
Toys,BrandA,18.66,3.1,0,18,59.74,631.5
Furniture,BrandD,21.07,4.5,1,902,95.01,1061.75
Kitchen,BrandD,13.43,1.4,1,20,60.16,428.79
Kitchen,BrandC,33.0,3.7,2,889,16.31,832.1
Toys,BrandD,9.46,4.0,4,1823,78.98,1286.45
Furniture,BrandA,19.01,4.2,0,1187,48.35,723.95
Kitchen,BrandC,27.05,4.1,4,665,70.77,1196.98
Toys,BrandE,38.24,3.8,2,600,64.12,1126.35
Kitchen,BrandC,34.75,4.0,4,1363,57.36,1374.47
Kitchen,BrandB,17.63,1.6,1,530,24.41,504.21
Kitchen,BrandD,6.77,4.7,4,1865,93.64,1460.83
Apparel,BrandA,34.22,2.4,0,788,90.23,792.91
Furniture,BrandD,5.89,3.2,5,1963,47.42,1255.52
Toys,BrandA,25.45,4.4,3,1824,83.36,1298.97
Toys,BrandD,10.56,3.7,2,75,90.6,905.14
Furniture,BrandC,21.35,2.7,0,1988,12.22,577.73
Furniture,BrandC,11.66,3.8,1,847,59.16,675.76
Furniture,BrandB,19.29,1.4,5,34,57.42,881.3
Furniture,BrandE,21.99,4.4,3,1034,16.21,821.3
Electronics,BrandD,24.47,1.2,0,376,67.48,444.49
Toys,BrandE,16.54,4.7,2,713,50.99,877.95
Electronics,BrandB,23.86,4.8,5,193,5.64,930.47
Kitchen,BrandC,21.48,1.4,2,1405,77.39,981.93
Kitchen,BrandE,42.85,1.0,2,313,34.12,581.9
Toys,BrandC,5.71,1.8,5,1698,43.12,1155.12
Kitchen,BrandC,10.52,4.3,0,221,29.89,439.41
Furniture,BrandB,12.45,2.9,4,764,18.35,796.26
Electronics,BrandE,8.62,1.7,0,131,13.01,299.19
Furniture,BrandE,26.78,1.3,2,248,89.45,728.68
Kitchen,BrandA,38.64,1.5,4,519,16.33,724.34
Electronics,BrandC,5.75,4.3,0,980,67.98,646.98
Furniture,BrandC,25.14,2.8,2,1779,0.31,986.12
Toys,BrandA,14.32,3.7,3,621,38.6,920.63
Furniture,BrandD,8.73,3.8,2,1460,24.9,764.12
Kitchen,BrandC,27.96,4.4,1,818,41.89,855.43
Electronics,BrandB,17.0,4.7,2,1351,75.65,1043.21
Toys,BrandC,42.07,1.4,0,439,83.01,755.54
Electronics,BrandB,4.12,1.5,4,69,35.95,523.45
Toys,BrandA,30.32,3.3,0,926,66.61,794.73
Electronics,BrandA,34.76,3.8,3,1977,90.35,1544.52
Kitchen,BrandB,31.4,4.2,0,649,75.3,826.53
Toys,BrandC,46.26,1.7,0,1754,23.27,740.0
Apparel,BrandD,32.6,4.5,0,86,78.55,574.35
Electronics,BrandD,31.8,4.7,5,504,16.81,938.02
Electronics,BrandC,21.2,2.2,3,1070,21.41,758.32
Furniture,BrandB,6.27,4.3,5,1414,16.99,970.54
Toys,BrandD,32.52,3.2,5,104,73.76,1035.89
Apparel,BrandE,26.13,1.1,3,1903,31.94,1075.5
Kitchen,BrandC,7.37,1.1,3,1638,30.45,893.66
Furniture,BrandE,21.1,1.5,1,1912,23.11,644.21
Apparel,BrandE,30.41,4.3,0,1173,30.57,765.31
Toys,BrandA,38.89,4.2,4,1468,71.2,1491.15
Apparel,BrandC,17.05,4.8,1,1886,83.49,987.89
Electronics,BrandE,42.52,2.6,3,64,64.02,1071.89
Electronics,BrandB,23.9,2.7,3,571,39.51,692.49
Furniture,BrandA,24.42,1.7,1,836,96.44,895.71
Toys,BrandC,32.03,2.8,0,1490,58.86,897.96
Toys,BrandE,37.42,2.8,5,982,97.2,1486.96
Apparel,BrandE,4.94,4.3,2,1236,19.84,785.47
Furniture,BrandE,6.89,5.0,5,1717,39.43,1292.52
Toys,BrandE,10.21,3.1,0,1520,45.13,621.54
Electronics,BrandA,19.38,4.1,0,45,90.95,859.62
Apparel,BrandB,29.3,4.1,0,1472,49.73,921.38
Kitchen,BrandD,35.57,2.6,0,1213,42.6,600.79
Electronics,BrandE,42.71,2.1,5,217,55.46,886.22
Furniture,BrandC,3.16,3.7,5,1842,4.11,1137.31
Toys,BrandE,26.66,4.1,3,1869,33.01,1250.67
Electronics,BrandA,35.47,3.0,1,1044,71.84,933.96
Kitchen,BrandB,14.03,1.5,1,1919,81.52,1031.0
Kitchen,BrandC,4.55,2.9,3,470,26.21,797.13
Furniture,BrandC,42.31,4.6,1,1856,64.78,1138.89
Electronics,BrandA,2.69,3.5,2,524,74.14,811.87
Apparel,BrandC,30.29,2.6,1,1397,4.32,548.53
Electronics,BrandB,32.77,3.9,4,380,32.34,1026.06
Kitchen,BrandB,11.73,2.4,1,450,73.75,716.72
Furniture,BrandB,9.44,1.7,3,298,38.7,451.26
Furniture,BrandA,17.8,3.2,5,1305,74.54,1398.45
Apparel,BrandA,36.5,1.0,4,542,42.98,907.17
Furniture,BrandE,41.45,2.4,4,1380,46.13,1312.92
Furniture,BrandB,17.35,2.2,2,1490,43.46,920.64
Furniture,BrandB,7.21,2.6,2,1507,92.43,1198.12
Furniture,BrandC,48.93,1.6,4,1911,11.8,945.68
Furniture,BrandE,40.71,3.0,4,1264,5.68,907.41
Kitchen,BrandD,38.95,1.9,5,1011,97.12,1380.52
Electronics,BrandE,43.48,4.0,4,780,92.02,1515.98
Toys,BrandE,46.2,2.2,1,482,32.51,684.22
Furniture,BrandB,49.83,3.2,5,445,28.03,1047.29
Toys,BrandE,16.34,3.9,0,1732,43.16,1011.52
Toys,BrandB,19.43,3.2,0,1575,67.72,941.18
Kitchen,BrandD,34.03,4.9,2,201,15.12,829.32
Furniture,BrandC,49.58,3.1,1,794,99.25,997.56
Toys,BrandA,34.77,4.6,4,827,23.75,966.18
Furniture,BrandC,17.4,4.4,0,1923,70.71,1029.76
Apparel,BrandD,41.79,2.5,2,892,56.23,859.89
Apparel,BrandB,9.87,2.6,5,680,18.78,811.52
Apparel,BrandD,43.49,3.8,2,1059,80.66,1130.16
Toys,BrandD,4.47,2.3,5,982,77.39,1448.97
Apparel,BrandD,16.66,3.6,4,761,97.04,1264.24
Kitchen,BrandB,33.36,1.8,2,510,35.44,710.53
Kitchen,BrandC,21.18,1.4,0,1932,42.77,873.91
Toys,BrandB,4.78,2.2,5,314,70.7,997.48
Furniture,BrandA,14.56,4.7,5,1048,35.08,1189.9
Electronics,BrandE,44.88,4.5,2,519,81.39,1075.97
Furniture,BrandD,18.56,1.6,1,919,99.6,728.89
Furniture,BrandA,18.97,1.8,0,1535,48.39,961.82
Furniture,BrandA,6.75,2.1,1,1390,46.81,893.08
Furniture,BrandD,38.36,4.4,0,380,82.93,829.56
Electronics,BrandE,30.83,1.6,3,506,12.87,456.03
Apparel,BrandE,8.29,1.3,2,1946,49.59,1082.34
Furniture,BrandE,17.48,2.1,4,571,70.22,1102.91
Kitchen,BrandB,39.86,4.7,5,50,57.75,1100.95
Toys,BrandB,2.43,1.1,2,1268,17.75,724.35
Toys,BrandA,44.07,2.1,5,1447,86.27,1243.33
Kitchen,BrandC,31.66,1.6,2,1588,7.52,912.15
Furniture,BrandE,27.01,4.5,5,137,18.51,1014.77
Electronics,BrandC,46.49,2.8,0,1791,44.53,924.51
Apparel,BrandA,13.44,4.8,5,1411,28.0,1210.94
Toys,BrandE,34.67,2.9,4,529,37.53,872.24
Apparel,BrandB,17.82,4.5,5,557,50.07,1039.11
Electronics,BrandD,23.38,1.1,2,251,73.17,786.41
Toys,BrandC,31.99,4.4,5,1472,23.49,1132.31
Apparel,BrandE,2.15,3.1,5,1747,49.43,1305.08
Electronics,BrandE,23.41,2.3,1,1738,21.43,716.16
Apparel,BrandE,22.65,1.9,4,1269,77.56,1319.5
Furniture,BrandD,23.24,2.2,5,973,42.41,976.08
Electronics,BrandD,24.35,4.3,3,708,39.52,951.59
Apparel,BrandE,9.72,2.5,5,122,12.31,749.7
Furniture,BrandA,11.93,4.0,1,1310,35.94,900.08
Furniture,BrandC,2.98,3.2,3,1729,84.16,1258.72
Electronics,BrandE,42.98,4.1,2,239,33.88,784.55
Kitchen,BrandB,45.64,2.3,3,545,4.93,625.14
Toys,BrandB,32.51,3.1,5,1612,76.74,1533.87
Electronics,BrandA,45.96,4.9,0,573,15.76,541.73
Furniture,BrandC,8.75,4.1,4,1162,26.32,1104.74
Furniture,BrandA,48.05,2.4,0,155,57.44,650.38
Electronics,BrandB,36.8,2.1,3,435,92.88,1160.95
Kitchen,BrandB,23.91,2.9,4,1702,43.56,1320.22
Toys,BrandB,0.38,4.5,0,767,70.77,674.91
Apparel,BrandD,2.41,1.0,0,1391,30.71,551.77
Electronics,BrandB,32.21,4.5,1,1220,29.86,934.73
Toys,BrandA,4.49,3.1,0,1706,92.45,769.33
Toys,BrandE,47.9,1.6,4,1707,70.61,1462.01
Furniture,BrandC,28.53,2.4,3,832,43.86,864.55
Apparel,BrandA,4.81,1.7,4,178,77.16,796.5
Electronics,BrandC,44.89,3.3,5,1638,78.98,1570.6
Furniture,BrandD,20.66,2.2,3,404,66.76,823.84
Furniture,BrandE,29.77,4.9,2,1312,87.01,1375.37
Kitchen,BrandD,49.17,1.1,2,642,21.39,590.71
Toys,BrandD,18.9,3.9,4,1561,17.55,1146.23
Electronics,BrandA,9.12,2.8,3,1979,50.92,1016.89
Electronics,BrandE,8.91,1.2,5,1937,63.52,1297.87
Electronics,BrandE,12.06,3.5,5,14,78.92,1139.49
Furniture,BrandB,33.03,2.8,1,1066,38.95,594.03
Kitchen,BrandD,45.79,2.4,3,1723,13.66,1071.95
Apparel,BrandD,22.03,3.0,0,1440,75.37,658.43
Furniture,BrandC,2.16,4.8,4,1967,79.05,1335.15
Apparel,BrandB,35.27,3.0,3,1200,22.69,1079.45
Kitchen,BrandB,9.1,2.0,5,933,30.92,869.25
Toys,BrandE,18.46,4.9,2,292,59.77,846.05
Electronics,BrandD,37.79,4.9,4,1363,73.43,1271.75
Apparel,BrandB,4.59,1.2,3,164,79.13,786.74
Furniture,BrandC,25.03,1.1,1,1071,34.19,508.75
Apparel,BrandD,41.02,3.5,4,256,9.56,708.04
Toys,BrandE,10.74,1.2,0,735,46.86,327.64
Electronics,BrandB,19.42,4.2,1,608,12.03,480.36
Apparel,BrandB,35.29,1.1,2,1933,71.33,1116.1
Toys,BrandA,11.18,3.3,3,99,86.39,983.31
Furniture,BrandD,33.87,4.8,3,825,66.37,1159.43
Kitchen,BrandE,39.3,4.1,2,483,66.68,997.04
Furniture,BrandE,49.5,2.6,4,1886,56.45,1306.77
Electronics,BrandB,5.57,1.7,1,1988,78.13,986.03
Furniture,BrandC,33.08,1.4,1,357,52.57,600.73
Furniture,BrandD,20.99,1.2,5,1368,32.53,879.52
Furniture,BrandE,13.89,2.9,0,352,21.71,374.08
Furniture,BrandE,31.9,3.5,0,403,35.92,514.65
Electronics,BrandA,13.61,1.2,0,16,4.23,175.21
Toys,BrandD,3.54,3.7,5,1324,13.22,1191.44
Apparel,BrandD,3.51,3.3,4,939,42.99,1123.79
Kitchen,BrandD,44.89,4.1,5,1077,38.1,1126.17
Apparel,BrandD,16.34,3.1,2,1346,72.62,1030.23
Apparel,BrandE,48.09,3.3,0,1724,41.65,939.9
Kitchen,BrandB,8.83,1.7,2,1736,83.55,1020.04
Electronics,BrandA,46.58,1.3,0,1580,12.72,592.9
Kitchen,BrandC,21.69,2.8,1,1055,54.83,625.12
Electronics,BrandE,18.39,4.5,1,366,90.25,1095.92
Apparel,BrandD,3.85,4.9,1,738,47.15,553.98
Electronics,BrandA,25.27,4.9,3,1443,99.08,1414.76
Toys,BrandB,28.04,3.2,4,1963,83.38,1616.56
Kitchen,BrandC,10.96,2.5,1,568,88.86,755.3
Toys,BrandD,19.63,2.8,5,1070,51.8,1294.81
Apparel,BrandB,18.7,3.9,3,1551,17.92,966.39
Kitchen,BrandE,0.78,4.4,5,471,28.2,960.22
Apparel,BrandC,35.53,2.5,4,1945,92.25,1391.79
Toys,BrandD,4.74,4.7,0,56,70.52,740.6
Apparel,BrandC,26.6,2.3,3,339,76.78,843.82
Kitchen,BrandB,49.28,3.4,1,681,10.24,726.48
Kitchen,BrandD,28.38,3.8,4,645,53.63,1021.76
Apparel,BrandD,42.05,2.1,5,1872,75.28,1512.65
Kitchen,BrandB,43.08,4.8,3,1170,9.16,979.45
Kitchen,BrandA,19.51,3.7,2,1543,86.93,1233.92
Apparel,BrandB,39.7,2.7,0,223,44.46,700.0
Toys,BrandA,17.29,1.8,3,924,37.89,617.94
Kitchen,BrandE,36.97,4.8,5,248,12.15,1002.94
Kitchen,BrandD,39.64,1.6,3,515,55.57,937.85
Kitchen,BrandB,12.83,3.9,2,1810,12.68,1019.73
Kitchen,BrandC,5.37,1.1,0,867,3.02,376.99
Apparel,BrandC,44.82,2.4,2,317,64.14,678.06
Toys,BrandD,49.01,1.9,2,1463,5.71,733.93
Toys,BrandC,11.26,2.7,5,11,57.25,785.89
Electronics,BrandC,10.17,5.0,5,1203,42.12,1278.36
Kitchen,BrandC,12.56,1.1,1,185,68.84,653.47
Kitchen,BrandD,46.85,3.2,3,240,92.03,882.98
Electronics,BrandB,47.87,4.4,1,1637,40.76,1196.01
Toys,BrandD,2.28,1.0,0,1037,3.49,172.54
Furniture,BrandD,47.39,1.8,0,986,77.59,823.5
Furniture,BrandA,10.59,1.7,1,1436,26.18,613.56
Toys,BrandA,33.24,4.6,0,1282,18.07,665.86
Kitchen,BrandA,38.2,4.6,4,1421,26.2,1243.93
Furniture,BrandA,29.37,3.5,5,1091,2.15,853.13
Apparel,BrandA,38.43,3.1,0,1440,37.47,735.83
Apparel,BrandB,42.93,4.8,5,408,8.2,1014.75
Electronics,BrandA,10.14,3.2,4,1770,85.9,1320.87
Toys,BrandE,42.21,2.0,1,225,91.95,779.09
Toys,BrandE,8.26,2.3,1,1036,0.89,525.51
Furniture,BrandD,10.12,2.7,1,1000,84.58,802.32
Kitchen,BrandD,41.9,3.5,3,196,44.68,923.33
Toys,BrandE,3.84,2.4,0,1650,94.45,937.48
Furniture,BrandE,35.16,4.1,2,1177,76.82,1139.49
Furniture,BrandB,21.48,2.4,5,1119,13.55,923.01
Toys,BrandE,43.56,2.0,4,898,87.58,1132.76
Furniture,BrandC,49.99,3.5,5,1665,43.91,1380.57
Electronics,BrandE,48.85,3.9,1,1634,95.23,1206.61
Electronics,BrandA,46.0,4.5,2,83,44.48,914.19
Toys,BrandB,37.69,4.0,4,1997,60.36,1631.89
Kitchen,BrandC,27.42,1.5,1,593,10.82,400.63
Electronics,BrandB,17.67,3.0,4,407,83.65,1123.55
Electronics,BrandE,0.87,2.8,1,1465,57.04,804.49
Toys,BrandA,17.38,1.8,5,469,3.96,849.61
Apparel,BrandD,42.07,5.0,2,808,97.82,1219.44
Furniture,BrandC,46.26,1.6,4,1338,62.51,1298.34
Electronics,BrandA,44.46,2.7,3,1471,72.18,1137.25
Apparel,BrandA,40.06,2.7,3,138,28.35,899.34
Kitchen,BrandB,13.1,1.1,0,953,60.58,687.41
Apparel,BrandE,37.44,2.6,3,1322,1.28,920.2
Toys,BrandD,15.91,4.8,2,1939,53.66,1070.49
Kitchen,BrandA,45.7,2.9,4,1299,65.5,1387.51
Kitchen,BrandD,2.89,3.7,0,1786,90.83,1112.56
Apparel,BrandD,42.43,4.4,1,1914,15.59,668.58
Toys,BrandA,17.43,1.3,0,1514,34.72,559.66
Electronics,BrandD,30.75,2.8,5,187,94.7,1240.23
Apparel,BrandA,35.89,4.1,3,1776,7.79,860.28
Electronics,BrandA,25.19,1.2,1,809,82.28,827.76
Apparel,BrandB,3.31,2.8,4,252,96.64,947.39
Electronics,BrandB,3.74,4.8,4,753,85.38,1234.98
Apparel,BrandB,38.34,4.7,5,163,75.68,1256.32
Kitchen,BrandB,41.69,3.3,1,994,48.17,840.58
Furniture,BrandC,21.53,3.1,5,1050,13.54,1242.32
Kitchen,BrandA,34.05,4.1,2,1075,51.54,1006.55
Electronics,BrandE,30.64,3.9,2,1758,32.39,867.31
Toys,BrandC,8.22,2.9,5,1402,37.6,1178.53
Kitchen,BrandE,11.92,1.7,4,1952,92.0,1311.16
Furniture,BrandD,14.31,4.9,2,177,2.43,515.77
